,0
0,True
1,False
2,True
3,True
4,True
5,True
6,False
7,False
8,False
9,True
10,False
11,True
12,True
13,False
14,True
15,False
16,False
17,False
18,True
19,True
20,True
21,True
22,True
23,True
24,False
25,True
26,True
27,False
28,False
29,True
30,True
31,False
32,True
33,False
34,True
35,True
36,True
37,True
38,True
39,True
40,True
41,True
42,True
43,True
44,False
45,True
46,True
47,False
48,False
49,True
50,True
51,True
52,False
53,False
54,False
55,True
56,True
57,False
58,False
59,True
60,True
61,True
62,True
63,True
64,False
65,False
66,False
67,False
68,True
69,True
70,False
71,True
72,False
73,True
74,True
75,True
76,False
77,False
78,True
79,True
80,False
81,False
82,True
83,True
84,True
85,True
86,True
87,True
88,True
89,True
90,True
91,True
92,True
93,True
94,True
95,True
96,True
97,False
98,True
99,True
100,True
101,True
102,True
103,True
104,False
105,False
106,True
107,False
108,False
109,True
110,False
111,True
112,True
113,True
114,False
115,False
116,True
117,True
118,True
119,False
120,True
121,False
122,True
123,False
124,False
125,True
126,True
127,False
128,True
129,True
130,True
131,False
132,True
133,True
134,True
135,True
136,True
137,False
138,True
139,True
140,True
141,True
142,False
143,True
144,True
145,True
146,True
147,False
148,False
149,True
150,False
151,True
152,False
153,False
154,True
155,False
156,False
157,False
158,True
159,True
160,True
161,False
162,True
163,False
164,True
165,True
166,True
167,True
168,True
169,True
170,True
171,False
172,True
173,True
174,True
175,False
176,True
177,True
178,False
179,True
180,True
181,False
182,False
183,True
184,True
185,True
186,True
187,True
188,True
189,True
190,True
191,True
192,True
193,True
194,True
195,True
196,True
197,True
198,True
199,True
200,False
201,True
202,False
203,False
204,True
205,False
206,True
207,True
208,False
209,True
210,True
211,True
212,False
213,True
214,True
215,True
216,False
217,True
218,True
219,True
220,True
221,True
222,False
223,True
224,True
225,False
226,False
227,True
228,False
229,True
230,True
231,True
232,True
233,False
234,False
235,True
236,True
237,True
238,True
239,False
240,True
241,False
242,True
243,True
244,False
245,True
246,True
247,True
248,True
249,False
250,True
251,False
252,False
253,True
254,False
255,False
256,True
257,True
258,False
259,False
260,True
261,True
262,True
263,False
264,True
265,True
266,False
267,False
268,True
269,True
270,False
271,True
272,False
273,True
274,True
275,True
276,False
277,True
278,True
279,True
280,False
281,False
282,False
283,True
284,False
285,False
286,True
287,True
288,True
289,False
290,True
291,False
292,True
293,True
294,True
295,True
296,False
297,True
298,True
299,True
300,True
301,False
302,True
303,True
304,True
305,True
306,True
307,False
308,False
309,True
310,True
311,True
312,True
313,False
314,True
315,True
316,False
317,True
318,True
319,True
320,True
321,True
322,True
323,False
324,False
325,True
326,True
327,False
328,True
329,False
330,True
331,True
332,True
333,True
334,True
335,True
336,True
337,True
338,True
339,True
340,False
341,True
342,True
343,False
344,True
345,False
346,True
347,False
348,True
349,True
350,True
351,True
352,False
353,True
354,True
355,True
356,False
357,True
358,False
359,True
360,True
361,True
362,False
363,True
364,True
365,True
366,True
367,True
368,False
369,True
370,False
371,True
372,True
373,True
374,True
375,False
376,True
377,True
378,True
379,False
380,False
381,False
